2014-03-26,10143.57020187378,0
2014-03-27,10341.630088806152,0
2014-03-28,10341.630088806152,0
2014-03-31,10498.830291748047,0
2014-04-01,10526.790061950684,0
2014-04-02,10687.670127868652,0
2014-04-03,10687.670127868652,0
2014-04-04,10733.170181274414,0
2014-04-07,10826.63052368164,0
2014-04-08,10826.63052368164,0
2014-04-09,11044.770305633545,0
2014-04-10,11044.770305633545,0
2014-04-11,11044.770305633545,0
2014-04-14,11176.970373153687,0
2014-04-15,11442.210340499878,0
2014-04-16,11496.24041557312,0
2014-04-17,11496.24041557312,0
2014-04-21,11496.24041557312,0
2014-04-22,11496.24041557312,0
2014-04-23,11560.560674667358,0
2014-04-24,11708.46099281311,0
2014-04-25,11838.38140296936,0
2014-04-28,11838.38140296936,0
2014-04-29,12034.371751785278,0
2014-04-30,12034.371751785278,0
2014-05-01,12141.591745376587,0
2014-05-02,12216.832262039185,0
2014-05-05,12216.832262039185,0
2014-05-06,12411.822454452515,0
2014-05-07,12411.822454452515,0
2014-05-08,12411.822454452515,0
2014-05-09,12411.822454452515,0
2014-05-12,12411.822454452515,0
2014-05-13,12411.822454452515,0
2014-05-14,12411.822454452515,0
2014-05-15,12590.222455978394,0
2014-05-16,12590.222455978394,0
2014-05-19,12751.432348251343,0
2014-05-20,12751.432348251343,0
2014-05-21,12751.432348251343,0
2014-05-22,12751.432348251343,0
2014-05-23,12858.702192306519,0
2014-05-27,12858.702192306519,0
2014-05-28,12931.622007369995,0
2014-05-29,13074.892431259155,0
2014-05-30,13167.802610397339,0
2014-06-02,13167.802610397339,0
2014-06-03,13233.962285995483,0
2014-06-04,13233.962285995483,0
2014-06-05,13474.722574234009,0
2014-06-06,13474.722574234009,0
2014-06-09,13474.722574234009,0
2014-06-10,13627.742490768433,0
2014-06-11,13705.593175888062,0
2014-06-12,13804.073331832886,0
2014-06-13,13989.39349937439,0
2014-06-16,13989.39349937439,0
2014-06-17,13989.39349937439,0
2014-06-18,14012.97332572937,0
2014-06-19,14212.563581466675,0
2014-06-20,14271.913633346558,0
2014-06-23,14448.893552780151,0
2014-06-24,14448.893552780151,0
2014-06-25,14448.893552780151,0
2014-06-26,14448.893552780151,0
2014-06-27,14448.893552780151,0
2014-06-30,14611.243604660034,0
2014-07-01,14611.243604660034,0
2014-07-02,14783.383619308472,0
2014-07-03,14783.383619308472,0
2014-07-07,15128.783056259155,0
2014-07-08,15128.783056259155,0
2014-07-09,15128.783056259155,0
2014-07-10,15279.682409286499,0
2014-07-11,15279.682409286499,0
2014-07-14,15279.682409286499,0
2014-07-15,15279.682409286499,0
2014-07-16,15473.51238822937,0
2014-07-17,15553.612546920776,0
2014-07-18,15680.752866744995,0
2014-07-21,15839.292417526245,0
2014-07-22,15966.952844619751,0
2014-07-23,16101.012502670288,0
2014-07-24,16471.802755355835,0
2014-07-25,16471.802755355835,0
2014-07-28,16586.49254798889,0
2014-07-29,16841.892122268677,0
2014-07-30,16841.892122268677,0
2014-07-31,17003.77209663391,0
2014-08-01,17003.77209663391,0
2014-08-04,17245.492433547974,0
2014-08-05,17444.122659683228,0
2014-08-06,17444.122659683228,0
2014-08-07,17444.122659683228,0
2014-08-08,17930.32264137268,0
2014-08-11,17930.32264137268,0
2014-08-12,17930.32264137268,0
2014-08-13,17930.32264137268,0
2014-08-14,17930.32264137268,0
2014-08-15,18140.783071517944,0
2014-08-18,18140.783071517944,0
2014-08-19,18244.043325424194,0
2014-08-20,18395.823232650757,0
2014-08-21,18395.823232650757,0
2014-08-22,18395.823232650757,0
2014-08-25,18481.922788619995,0
2014-08-26,18716.192819595337,0
2014-08-27,18824.37320137024,0
2014-08-28,18824.37320137024,0
2014-08-29,18895.21391105652,0
2014-09-02,19471.814611434937,0
2014-09-03,19970.23483467102,0
2014-09-04,15188.785402297974,5000
2014-09-05,15299.195306777954,5000
2014-09-08,15299.195306777954,5000
2014-09-09,15299.195306777954,5000
2014-09-10,15578.165056228638,5000
2014-09-11,15862.505243301392,5000
2014-09-12,15862.505243301392,5000
2014-09-15,16188.454858779907,5000
2014-09-16,16407.08571434021,5000
2014-09-17,16407.08571434021,5000
2014-09-18,16407.08571434021,5000
2014-09-19,16676.846364974976,5000
2014-09-22,16676.846364974976,5000
2014-09-23,16676.846364974976,5000
2014-09-24,16764.856344223022,5000
2014-09-25,16905.346815109253,5000
2014-09-26,16905.346815109253,5000
2014-09-29,16972.936391830444,5000
2014-09-30,17539.566495895386,5000
2014-10-01,17688.95615196228,5000
2014-10-02,17688.95615196228,5000
2014-10-03,17688.95615196228,5000
2014-10-06,18138.665365219116,5000
2014-10-07,18372.585920333862,5000
2014-10-08,18372.585920333862,5000
2014-10-09,18372.585920333862,5000
2014-10-10,18372.585920333862,5000
2014-10-13,18623.486066818237,5000
2014-10-14,18623.486066818237,5000
2014-10-15,19164.445363998413,5000
2014-10-16,19164.445363998413,5000
2014-10-17,19164.445363998413,5000
2014-10-20,19164.445363998413,5000
2014-10-21,19252.43514060974,5000
2014-10-22,19252.43514060974,5000
2014-10-23,19252.43514060974,5000
2014-10-24,19252.43514060974,5000
2014-10-27,19522.26447868347,5000
2014-10-28,19724.97452735901,5000
2014-10-29,19724.97452735901,5000
2014-10-30,19919.80314064026,5000
2014-10-31,19919.80314064026,5000
2014-11-03,15037.313032150269,10000
2014-11-04,15263.303777694702,10000
2014-11-05,15642.953866958618,10000
2014-11-06,15900.583780288696,10000
2014-11-07,16076.554067611694,10000
2014-11-10,16581.31387901306,10000
2014-11-11,16826.034070968628,10000
